79 791  5.729715950542359215e-02 0 0 3.642091e-01 -5.779453e-02 1.069237e+00 4.857603e-01 6.393728e-01 2.901568e-01 1.030849e+00 1.004679e+00 9.675321e-02 
80 801  5.735215063846506311e-02 0 0 3.690430e-01 -2.103862e-01 1.056004e+00 6.238664e-01 6.636931e-01 2.002947e-01 1.011660e+00 9.019395e-01 1.044842e-01 
81 811  5.472950886551487815e-02 0 0 3.993603e-01 -3.951006e-02 1.042344e+00 5.723742e-01 6.483177e-01 2.869272e-01 9.879425e-01 9.755087e-01 1.032016e-01 
82 821  5.344931495262129212e-02 0 0 3.968594e-01 2.456172e-02 1.030607e+00 5.748842e-01 6.377697e-01 2.482853e-01 1.041875e+00 9.906164e-01 1.092259e-01 
83 831  5.187802665297903265e-02 0 0 4.373602e-01 -9.164858e-02 1.025282e+00 5.994905e-01 6.625405e-01 1.819104e-01 1.006829e+00 9.915091e-01 1.092477e-01 
84 841  5.234770310572502833e-02 0 0 4.055854e-01 -7.885902e-03 1.017067e+00 5.613909e-01 6.150838e-01 2.172705e-01 1.033457e+00 1.014828e+00 1.086080e-01 
85 851  5.318919626614405927e-02 0 0 3.649978e-01 -1.032452e-02 1.064854e+00 5.348814e-01 6.123484e-01 2.111939e-01 1.028188e+00 1.045408e+00 1.072287e-01 
86 861  5.400650781881154161e-02 0 0 4.216119e-01 -1.015136e-02 9.901441e-01 5.465469e-01 5.991704e-01 1.359219e-01 9.970217e-01 9.532179e-01 1.042797e-01 
87 871  5.321601083217540606e-02 0 0 4.136566e-01 -8.591642e-02 1.008005e+00 6.122757e-01 5.626888e-01 2.002202e-01 1.000181e+00 9.818081e-01 1.006707e-01 
88 881  5.274486899676832791e-02 0 0 3.830478e-01 -1.490459e-01 1.021338e+00 6.031275e-01 6.475565e-01 1.590814e-01 1.024664e+00 9.782849e-01 1.011885e-01 
89 891  5.539274178631426598e-02 0 0 4.093624e-01 5.050770e-02 1.006954e+00 5.232835e-01 5.754880e-01 1.325788e-01 1.000159e+00 9.489861e-01 1.037611e-01 
