79 791 6.294402e-02 5.126497e+00  5.725986074008120041e-02  5.729715950542359215e-02  6.700340049575065349e-02  7.180119467498875807e-02
80 801 6.548126e-02 4.975878e+00  5.725986074008120041e-02  5.735215063846506311e-02  6.979681384283682732e-02  9.569933298865836158e-02
81 811 6.110724e-02 5.041543e+00  5.472950886551487815e-02  5.472950886551487815e-02  6.235581488602158495e-02  8.509032770604287033e-02
82 821 5.608944e-02 5.020505e+00  5.344931495262129212e-02  5.344931495262129212e-02  6.195589637281632284e-02  7.561929310103919499e-02
83 831 5.293864e-02 5.130052e+00  5.187802665297903265e-02  5.187802665297903265e-02  6.132965017966223592e-02  7.262923496598396034e-02
84 841 4.923197e-02 5.195907e+00  5.187802665297903265e-02  5.234770310572502833e-02  6.051927076471180778e-02  6.820666238033783191e-02
85 851 4.672065e-02 5.247203e+00  5.187802665297903265e-02  5.318919626614405927e-02  5.838678580223885528e-02  6.479609794480709062e-02
86 861 4.790704e-02 5.289102e+00  5.187802665297903265e-02  5.400650781881154161e-02  6.210633521330618384e-02  7.234207658011788944e-02
87 871 4.268644e-02 5.331670e+00  5.187802665297903265e-02  5.321601083217540606e-02  5.815934944649853167e-02  6.615644640663538578e-02
88 881 4.296211e-02 5.348378e+00  5.187802665297903265e-02  5.274486899676832791e-02  5.637226215385625350e-02  6.469899528203283678e-02
89 891 4.153049e-02 5.296063e+00  5.187802665297903265e-02  5.539274178631426598e-02  5.898568206548260306e-02  6.547306598167931813e-02
90 901 3.911511e-02 5.274896e+00  5.187802665297903265e-02  5.478279427438369209e-02  6.012254733530128514e-02  8.075966017002386699e-02
91 911 3.467886e-02 5.308343e+00  5.187802665297903265e-02  5.373034331134205616e-02  6.070904518087522073e-02  7.065835240680813645e-02
92 921 3.297487e-02 5.312082e+00  5.187802665297903265e-02  5.346017712773105945e-02  5.536160531118326789e-02  7.201842520302555173e-02
93 931 3.451839e-02 5.463783e+00  5.187802665297903265e-02  5.211473401265026562e-02  5.532558637511653804e-02  7.566061400944977533e-02
94 941 3.613732e-02 5.489483e+00  5.187802665297903265e-02  5.282422502012273924e-02  5.485829423366811453e-02  6.149010707998049663e-02
95 951 3.379450e-02 5.573441e+00  5.187802665297903265e-02  5.202221431412889369e-02  5.529037080080759919e-02  6.240543322639082596e-02
96 961 3.325066e-02 5.605640e+00  5.124709600341469107e-02  5.124709600341469107e-02  5.291953562177478809e-02  5.835244724984519488e-02
